Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2016,Drew Brees,QB,"$31,250,000 ",NO,New Orleans Saints,NFC South
2016,Andrew Luck,QB,"$30,000,000 ",IND,Indianapolis Colts,AFC South
2016,Olivier Vernon,DE,"$29,000,000 ",NYG,New  York Giants,NFC East
2016,Joe Flacco,QB,"$29,000,000 ",BAL,Baltimore Ravens,AFC North
2016,Fletcher Cox,DT,"$27,299,000 ",PHI,Philadelphia Eagles,NFC East
2016,Von Miller,OLB,"$25,100,000 ",DEN,Denver Broncos,AFC West
2016,Justin Houston,OLB,"$23,500,000 ",KC,Kansas City Chiefs,AFC West
2016,Philip Rivers,QB,"$22,000,000 ",SD,San Diego Chargers,AFC West
2016,Muhammad Wilkerson,DE,"$22,000,000 ",NYJ,New York Jets,AFC East
2016,Brock Osweiler,QB,"$21,000,000 ",HOU,Houston Texans,AFC South
2016,Demaryius Thomas,WR,"$20,000,000 ",DEN,Denver Broncos,AFC West
2016,Cam Newton,QB,"$20,000,000 ",CAR,Carolina Panthers,NFC South
2016,Kirk Cousins,QB,"$19,953,000 ",WAS,Washington Commanders,NFC East
2016,Cordy Glenn,LT,"$19,000,000 ",BUF,Buffalo Bills,AFC East
2016,Jared Goff,QB,"$18,968,308 ",LAR,Los Angeles Rams,NFC West
2016,Carson Palmer,QB,"$18,500,000 ",ARI,Arizona Cardinals,NFC West
2016,David DeCastro,G,"$18,070,000 ",PIT,Pittsburgh Steelers,AFC North
2016,Carson Wentz,QB,"$18,050,973 ",PHI,Philadelphia Eagles,NFC East
2016,Malik Jackson,DT,"$18,000,000 ",JAC,Jacksonville Jaguars,AFC South
2016,Eli Manning,QB,"$18,000,000 ",NYG,New  York Giants,NFC East
2016,Ben Roethlisberger,QB,"$17,750,000 ",PIT,Pittsburgh Steelers,AFC North
2016,Darrelle Revis,CB,"$17,000,000 ",NYJ,New York Jets,AFC East
2016,Matthew Stafford,QB,"$17,000,000 ",DET,Detroit Lions,NFC North
2016,Ezekiel Elliott,RB,"$16,800,066 ",DAL,Dallas Cowboys,NFC East
2016,David Bakhtiari,LT,"$16,757,117 ",GB,Green Bay Packers,NFC North
2016,Tyrann Mathieu,FS,"$16,671,407 ",ARI,Arizona Cardinals,NFC West
2016,Janoris Jenkins,CB,"$16,000,000 ",NYG,New  York Giants,NFC East
2016,Dez Bryant,WR,"$16,000,000 ",DAL,Dallas Cowboys,NFC East
2016,Jay Cutler,QB,"$16,000,000 ",CHI,Chicago Bears,NFC North
2016,Matt Ryan,QB,"$15,750,000 ",ATL,Atlanta Falcons,NFC South
2016,Jalen Ramsey,CB,"$15,632,546 ",JAC,Jacksonville Jaguars,AFC South
2016,Darius Slay,CB,"$15,631,250 ",DET,Detroit Lions,NFC North
2016,Harrison Smith,FS,"$15,278,000 ",MIN,Minnesota Vikings,NFC North
2016,Keenan Allen,WR,"$15,171,000 ",SD,San Diego Chargers,AFC West
2016,Joey Bosa,DE,"$14,914,642 ",SD,San Diego Chargers,AFC West
2016,Trent Williams,LT,"$14,909,914 ",WAS,Washington Commanders,NFC East
2016,Tom Brady,QB,"$14,774,301 ",NE,New England Patriots,AFC East
2016,Colin Kaepernick,QB,"$14,300,000 ",SF,San Francisco 49ers,NFC West
2016,Alex Smith,QB,"$14,200,000 ",KC,Kansas City Chiefs,AFC West
2016,Trumaine Johnson,CB,"$13,952,000 ",LAR,Los Angeles Rams,NFC West
2016,Ronnie Stanley,LT,"$13,547,695 ",BAL,Baltimore Ravens,AFC North
2016,Kelechi Osemele,G,"$13,500,000 ",OAK,Oakland Raiders,AFC West
2016,Julio Jones,WR,"$13,500,000 ",ATL,Atlanta Falcons,NFC South
2016,Ndamukong Suh,DT,"$13,500,000 ",MIA,Miami Dolphins,AFC East
2016,Eric Fisher,LT,"$13,425,000 ",KC,Kansas City Chiefs,AFC West
2016,Marcell Dareus,DT,"$13,291,176 ",BUF,Buffalo Bills,AFC East
2016,Emmanuel Sanders,WR,"$13,250,000 ",DEN,Denver Broncos,AFC West
2016,Alex Mack,C,"$13,250,000 ",ATL,Atlanta Falcons,NFC South
2016,Ryan Kalil,C,"$13,250,000 ",CAR,Carolina Panthers,NFC South
2016,Marvin Jones,WR,"$13,000,000 ",DET,Detroit Lions,NFC North
2016,Damon Harrison,DT,"$13,000,000 ",NYG,New  York Giants,NFC East
2016,Josh Norman,CB,"$13,000,000 ",WAS,Washington Commanders,NFC East
2016,Aaron Rodgers,QB,"$12,600,000 ",GB,Green Bay Packers,NFC North
2016,Richard Sherman,CB,"$12,569,000 ",SEA,Seattle Seahawks,NFC West
2016,Brandon Marshall,ILB,"$12,553,000 ",DEN,Denver Broncos,AFC West
2016,Kyle Long,G,"$12,509,790 ",CHI,Chicago Bears,NFC North
2016,Bruce Irvin,OLB,"$12,500,000 ",OAK,Oakland Raiders,AFC West
2016,Gerald McCoy,DT,"$12,500,000 ",TB,Tampa Bay Buccaneers,NFC South
2016,Derek Wolfe,DE,"$12,487,500 ",DEN,Denver Broncos,AFC West
2016,Russell Wilson,QB,"$12,342,000 ",SEA,Seattle Seahawks,NFC West
2016,Adrian Peterson,RB,"$12,001,848 ",MIN,Minnesota Vikings,NFC North
2016,Brandon Brooks,G,"$12,000,000 ",PHI,Philadelphia Eagles,NFC East
2016,Ryan Fitzpatrick,QB,"$12,000,000 ",NYJ,New York Jets,AFC East
2016,Dwayne Allen,TE,"$11,937,500 ",IND,Indianapolis Colts,AFC South
2016,DeForest Buckner,DT,"$11,879,814 ",SF,San Francisco 49ers,NFC West
2016,Terron Armstead,LT,"$11,721,000 ",NO,New Orleans Saints,NFC South
2016,Lane Johnson,RT,"$11,538,712 ",PHI,Philadelphia Eagles,NFC East
2016,Charles Clay,TE,"$11,500,000 ",BUF,Buffalo Bills,AFC East
2016,Alshon Jeffery,WR,"$11,163,940 ",CHI,Chicago Bears,NFC North
2016,Matt Kalil,LT,"$11,096,000 ",MIN,Minnesota Vikings,NFC North
2016,Stephon Gilmore,CB,"$11,082,000 ",BUF,Buffalo Bills,AFC East
2016,Vinny Curry,DE,"$11,000,000 ",PHI,Philadelphia Eagles,NFC East
2016,Larry Fitzgerald,WR,"$11,000,000 ",ARI,Arizona Cardinals,NFC West
2016,Michael Crabtree,WR,"$11,000,000 ",OAK,Oakland Raiders,AFC West
2016,Sean Smith,CB,"$11,000,000 ",OAK,Oakland Raiders,AFC West
2016,Eric Berry,FS,"$10,806,000 ",KC,Kansas City Chiefs,AFC West
2016,Marcus Cannon,RT,"$10,715,643 ",NE,New England Patriots,AFC East
2016,Andy Dalton,QB,"$10,700,000 ",CIN,Cincinnati Bengals,AFC North
2016,Jerry Hughes,DE,"$10,675,000 ",BUF,Buffalo Bills,AFC East
2016,Travis Kelce,TE,"$10,646,000 ",KC,Kansas City Chiefs,AFC West
2016,J.J. Watt,DE,"$10,500,000 ",HOU,Houston Texans,AFC South
2016,Jordan Reed,TE,"$10,468,750 ",WAS,Washington Commanders,NFC East
2016,Antonio Brown,WR,"$10,250,000 ",PIT,Pittsburgh Steelers,AFC North
2016,Jack Conklin,RT,"$10,211,933 ",TEN,Tennessee Titans,AFC South
2016,Robert Quinn,OLB,"$10,202,019 ",LAR,Los Angeles Rams,NFC West
2016,Joe Haden,CB,"$10,200,000 ",CLE,Cleveland Browns,AFC North
2016,Leonard Floyd,OLB,"$10,128,444 ",CHI,Chicago Bears,NFC North
2016,Danny Trevathan,ILB,"$10,100,000 ",CHI,Chicago Bears,NFC North
2016,Devin McCourty,FS,"$10,038,662 ",NE,New England Patriots,AFC East
2016,Joe Staley,LT,"$10,006,250 ",SF,San Francisco 49ers,NFC West
2016,Malcolm Jenkins,FS,"$10,000,000 ",PHI,Philadelphia Eagles,NFC East
2016,Mark Barron,ILB,"$10,000,000 ",LAR,Los Angeles Rams,NFC West
2016,Jeremy Maclin,WR,"$10,000,000 ",KC,Kansas City Chiefs,AFC West
2016,Patrick Peterson,CB,"$10,000,000 ",ARI,Arizona Cardinals,NFC West
2016,Jeff Allen,G,"$10,000,000 ",HOU,Houston Texans,AFC South
2016,Tyron Smith,LT,"$10,000,000 ",DAL,Dallas Cowboys,NFC East
2016,Lavonte David,OLB,"$10,000,000 ",TB,Tampa Bay Buccaneers,NFC South
2016,A.J. Green,WR,"$10,000,000 ",CIN,Cincinnati Bengals,AFC North
2016,Vincent Jackson,WR,"$9,777,777 ",TB,Tampa Bay Buccaneers,NFC South
2016,Calais Campbell,DE,"$9,750,000 ",ARI,Arizona Cardinals,NFC West
2016,Jason Pierre-Paul,DE,"$9,700,000 ",NYG,New  York Giants,NFC East
2016,Eli Apple,CB,"$9,669,869 ",NYG,New  York Giants,NFC East
2016,Cameron Jordan,DE,"$9,600,000 ",NO,New Orleans Saints,NFC South
2016,Clay Matthews Jr.,OLB,"$9,525,000 ",GB,Green Bay Packers,NFC North
2016,Tyrod Taylor,QB,"$9,506,240 ",BUF,Buffalo Bills,AFC East
2016,Brandon Marshall,WR,"$9,500,000 ",NYJ,New York Jets,AFC East
2016,Joe Thomas,LT,"$9,500,000 ",CLE,Cleveland Browns,AFC North
2016,J.R. Sweezy,G,"$9,500,000 ",TB,Tampa Bay Buccaneers,NFC South
2016,Navorro Bowman,ILB,"$9,426,470 ",SF,San Francisco 49ers,NFC West
2016,Ryan Tannehill,QB,"$9,340,000 ",MIA,Miami Dolphins,AFC East
2016,Michael Brockers,DT,"$9,146,000 ",LAR,Los Angeles Rams,NFC West
2016,Zach Ertz,TE,"$9,138,527 ",PHI,Philadelphia Eagles,NFC East
2016,Mike Pouncey,C,"$9,025,000 ",MIA,Miami Dolphins,AFC East
2016,Adam-Pacman Jones,CB,"$9,000,000 ",CIN,Cincinnati Bengals,AFC North
